Method,Category,Accuracy,AUC,Precision,Recall,F1,DPD,DPR,EOD,TPR_Diff,FPR_Diff,TradeoffScore,Dataset,Acc_Rank,DPD_Rank,Combined_Rank
LabelFlip (equalize),Pre-processing,0.7901425571886397,,0.7546897546897547,0.2322380106571936,0.3551782682512733,0.017478003531985,0.7873567253455122,0.0266977244577036,,,,Adult Census,14.0,7.0,21.0
Sampling (oversample),Pre-processing,0.7440601171400155,,0.4899560577526679,0.6931616341030196,0.574108127988231,0.1007912229274239,0.7378233388373866,0.0440414028841336,,,,Adult Census,23.0,12.0,35.0
Sampling (undersample),Pre-processing,0.7470438722510775,,0.4941213854464569,0.6904973357015985,0.5760325986293758,0.0898806162148594,0.7613541460570025,0.0368862136481824,,,,Adult Census,21.0,11.0,32.0
Sampling (hybrid),Pre-processing,0.7467123439054039,,0.4937027707808564,0.6962699822380106,0.5777450257921887,0.1093035086775673,0.7168799505417479,0.0464672937285438,,,,Adult Census,22.0,13.0,35.0
FairReg (λ=0.1),In-processing,0.757100232069842,,1.0,0.0239786856127886,0.04683434518647,0.0052401010291164,0.3149961548320943,0.0022495026738372,,,,Adult Census,17.0,5.0,22.0
FairReg (λ=0.5),In-processing,0.7565476848270527,,1.0,0.0217584369449378,0.0425901781833985,0.0044262989457831,0.3524956970740103,0.0009371667158319,,,,Adult Census,18.0,4.0,22.0
FairReg (λ=1.0),In-processing,0.7562161564813792,,1.0,0.0204262877442273,0.0400348128807658,0.0039380176957831,0.3796107506950881,0.0001497651410288,,,,Adult Census,19.0,3.0,22.0
FairReg (λ=2.0),In-processing,0.7558846281357056,,1.0,0.0190941385435168,0.0374727668845315,0.0034497364457831,0.4112449799196787,0.0006376364337743,,,,Adult Census,20.0,2.0,22.0
Adversarial (w=0.5),In-processing,0.8384351862084208,,0.7236693091732729,0.5674955595026643,0.6361373817819811,0.1338155635936603,0.4380295128370134,0.0381035656122564,,,,Adult Census,1.0,14.0,15.0
Adversarial (w=1.0),In-processing,0.8342358271632224,,0.7278787878787879,0.533303730017762,0.6155817529472065,0.1357221295897877,0.3992242332855505,0.0595028939049876,,,,Adult Census,2.0,15.0,17.0
Constrained (ε=0.05),In-processing,0.8082661067521273,,0.6146341463414634,0.6154529307282416,0.615043266030619,0.3497869267247562,0.0323769122931553,0.4292144557498661,,,,Adult Census,11.0,23.0,34.0
Constrained (ε=0.1),In-processing,0.8104762957232844,,0.6439678284182305,0.533303730017762,0.5834345397133835,0.2807334247705106,0.0522933176977927,0.3460803418813884,,,,Adult Census,10.0,22.0,32.0
Equalized Odds,Post-processing,0.786164217040557,,0.5809913132345427,0.5048845470692718,0.5402708481824662,0.0351122122418244,0.8456871015638273,0.0302492202622946,,,,Adult Census,16.0,8.0,24.0
ThreshOpt (w=0.3),Post-processing,0.8172173720853133,,0.7105633802816902,0.4480461811722913,0.5495642701525054,0.1783923640992541,0.1671408168496826,0.1792444419865196,,,,Adult Census,6.5,18.5,25.0
ThreshOpt (w=0.5),Post-processing,0.8172173720853133,,0.7105633802816902,0.4480461811722913,0.5495642701525054,0.1783923640992541,0.1671408168496826,0.1792444419865196,,,,Adult Census,6.5,18.5,25.0
ThreshOpt (w=0.7),Post-processing,0.8172173720853133,,0.7105633802816902,0.4480461811722913,0.5495642701525054,0.1783923640992541,0.1671408168496826,0.1792444419865196,,,,Adult Census,6.5,18.5,25.0
Calibrated,Post-processing,0.8178804287766605,,0.7166427546628408,0.4436056838365897,0.5479978058145913,0.1873424501577739,0.125355612637262,0.1967811072036268,,,,Adult Census,3.0,21.0,24.0
Reject Option,Post-processing,0.8010829925958669,,0.7334710743801653,0.3152753108348134,0.4409937888198758,0.0024117676061388,0.977616464996802,0.07649835951726,,,,Adult Census,13.0,1.0,14.0
